CASEID,PAGO,PAGO5,PEXP,PEXP5,AGE,SEX,MARRY,NUMKID
12644,3,3,3,3,49,1,4,0
12645,1,1,5,5,40,2,3,2
12646,3,3,3,3,50,1,1,2
12647,1,3,1,1,42,2,1,2
12648,3,1,3,3,22,2,1,3
12649,5,5,5,3,38,1,1,3
12650,1,1,3,1,24,1,5,0
12651,1,5,1,1,49,2,1,0
12653,1,5,5,3,24,1,1,1
12654,3,1,5,5,62,1,1,0
12655,1,1,3,3,21,2,1,0
12656,3,1,3,1,57,1,1,0
12657,1,1,1,1,54,2,1,1
12658,1,1,1,5,27,1,1,2
12659,3,1,5,3,18,1,5,1
12660,5,5,3,1,32,2,1,0
12661,5,5,9,9,72,2,1,0
12662,1,1,1,3,21,1,5,0
12663,5,5,5,5,36,2,1,5
12664,3,3,3,3,61,1,1,0
12665,5,1,5,3,93,2,4,0
12667,3,5,3,5,45,1,1,2
12668,1,1,1,1,32,1,1,2
12669,1,5,5,5,65,1,1,0
12670,1,1,3,1,30,1,1,1
12671,1,5,3,1,34,1,1,0
12672,1,3,3,1,37,2,3,1
12674,5,5,3,8,60,2,4,2
12675,1,1,1,1,32,1,1,3
12676,5,3,3,3,28,2,1,2
12677,1,1,3,1,23,1,1,0
12678,5,1,3,3,38,2,1,4
12679,3,1,3,5,59,2,5,0
12680,5,5,5,3,47,1,1,1
12681,5,5,5,5,59,1,1,0
12682,1,1,9,3,26,2,3,2
12683,8,5,1,1,22,2,1,0
12684,5,1,3,5,58,1,1,1
12685,1,1,8,1,30,2,3,0
12687,5,5,3,3,51,2,4,0
12688,1,1,3,1,40,1,3,0
12689,3,1,3,5,56,2,1,0
12690,5,5,1,3,28,2,1,1
12691,5,5,3,3,56,1,1,1
12693,1,1,1,1,20,1,5,0
12694,1,1,3,5,21,2,5,0
12695,1,1,1,1,33,1,1,2
12697,1,1,1,5,33,1,1,0
12698,1,1,1,1,35,1,1,2
12699,3,1,8,5,79,1,4,0
12700,1,1,3,1,48,1,1,1
12701,1,1,5,5,42,2,1,2
12702,5,1,3,3,63,1,1,0
12703,3,3,3,1,69,1,1,0
12704,3,1,8,1,48,2,1,3
12705,5,1,3,3,41,1,1,2
12706,1,1,1,5,25,1,1,1
12707,1,1,3,1,31,2,1,2
12708,5,8,3,5,46,1,1,2
12709,1,1,3,1,65,1,1,0
12710,5,5,9,1,59,2,1,2
12711,5,1,1,1,22,1,5,0
12712,3,3,3,1,33,2,1,0
12713,1,5,5,5,30,1,1,1
12714,1,1,3,1,40,2,3,0
12715,5,1,5,5,26,2,1,1
12716,1,1,1,1,65,1,1,0
12717,3,5,1,1,33,2,3,2
12718,1,1,5,1,35,1,1,3
12719,1,1,1,1,18,1,5,0
12720,5,1,1,3,62,2,4,0
12721,1,1,3,1,45,1,1,0
12723,1,3,3,3,28,1,1,2
12724,3,9,3,3,33,2,1,2
12725,1,3,3,5,25,2,1,0
12726,3,1,3,1,39,2,1,1
12727,1,1,5,5,31,2,1,2
12728,3,1,3,3,59,1,1,1
12729,1,1,3,5,22,1,5,0
12730,1,1,3,1,34,2,1,1
12731,1,3,1,3,55,2,1,1
12732,5,5,1,1,36,1,1,1
12733,5,1,1,1,32,1,1,0
12734,5,5,5,5,64,2,1,0
12735,1,1,8,8,37,1,3,0
12736,5,1,1,1,26,2,3,0
12738,1,3,3,3,28,2,3,2
12740,1,1,1,3,56,1,1,0
12741,1,1,3,1,30,2,1,2
12742,5,5,1,1,49,2,1,1
12743,1,1,3,3,33,2,1,2
12744,3,3,5,5,64,2,1,0
12745,5,1,1,1,56,1,1,0
12746,5,5,5,1,18,2,5,0
12747,1,1,3,1,25,2,1,1
12748,1,1,3,3,63,2,1,0
12749,1,1,1,1,49,1,1,1
12750,5,5,5,1,62,1,1,0
